source,source_domain,url,bias_score,factual_reporting_score
Alabama Political Reporter,alreporter.com,https://mediabiasfactcheck.com/alabama-political-reporter/,1,2
Alabama Today,altoday.com,https://mediabiasfactcheck.com/alabama-today/,-1,2
Alan Guttmacher Institute,guttmacher.org,https://mediabiasfactcheck.com/alan-guttmacher-institute/,-10,2
Albany Democrat-Herald,democratherald.com,https://mediabiasfactcheck.com/albany-democrat-herald/,-1,2
Albany Times-Union,timesunion.com,https://mediabiasfactcheck.com/albany-times-union/,-6,2
Alberta Views,albertaviews.ca,https://mediabiasfactcheck.com/alberta-views-bias/,-12,2
Albuquerque Journal,abqjournal.com,https://mediabiasfactcheck.com/albuquerque-journal/,7,2
Aleteia,aleteia.org,https://mediabiasfactcheck.com/aleteia/,16,0
All Generalizations are False,adfontesmedia.com,https://mediabiasfactcheck.com/all-generalizations-are-false/,-2,2
All News Pipeline,allnewspipeline.com,https://mediabiasfactcheck.com/all-news-pipeline/,30,-1
All That's Fab,allthatsfab.com,https://mediabiasfactcheck.com/all-thats-fab/,-26,0
AllAfrica,allafrica.com,https://mediabiasfactcheck.com/allafrica/,-1,2
Allen B. West,allenbwest.com,https://mediabiasfactcheck.com/allen-b-west/,26,0
Allen West Republic,allenwestrepublic.com,https://mediabiasfactcheck.com/allen-west-republic/,31,-1
AllGov,allgov.com,https://mediabiasfactcheck.com/allgov/,-12,2
Alliance Defending Freedom,adflegal.org,https://mediabiasfactcheck.com/alliance-defending-freedom/,31,-1
Alliance for Justice (AFJ),afj.org,https://mediabiasfactcheck.com/alliance-for-justice-afj/,-20,2
Alliance for Natural Health (ANH-USA),anh-usa.org,https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,1.7,0
Alliance for Science,allianceforscience.cornell.edu,https://mediabiasfactcheck.com/alliance-for-science/,0,2
Alliance For Securing Democracy,securingdemocracy.gmfus.org,https://mediabiasfactcheck.com/alliance-securing-democracy/,2,2
Allied Progress,alliedprogress.org,https://mediabiasfactcheck.com/allied-progress/,-14,2
Alpha News,alphanewsmn.com,https://mediabiasfactcheck.com/alpha-news/,29,-1
Alt News,altnews.in,https://mediabiasfactcheck.com/alt-news/,-18,2
Alternative Media Syndicate,alternativemediasyndicate.com,https://mediabiasfactcheck.com/alternative-media-syndicate/,-26,0
Alternative Media Television (AMTV),amtvmedia.com,https://mediabiasfactcheck.com/alternative-media-television-amtv/,24,-1
Alternet,alternet.org,https://mediabiasfactcheck.com/alternet/,-26,0
AltNewsMedia.net,altnewsmedia.net,https://mediabiasfactcheck.com/altnewsmedia-net/,22,2
AltRight.com,altright.com,https://mediabiasfactcheck.com/altright-com/,30,-1
AM New York,amny.com,https://mediabiasfactcheck.com/am-new-york/,-11,2
AMAC (Association of Mature American Citizens),amac.us,https://mediabiasfactcheck.com/amac-association-of-mature-american-citizens/,24,0
Amandla,aidc.org.za,https://mediabiasfactcheck.com/amandla/,-21,2
Amarillo Globe-News,amarillo.com,https://mediabiasfactcheck.com/amarillo-globe-news/,2,2
Amazingnews.net,amazingnews.net,https://mediabiasfactcheck.com/amazingnews-net/,32,-1
America Blog,americablog.com,https://mediabiasfactcheck.com/americablog/,-21,2
America First Action SuperPAC,a1apac.org,https://mediabiasfactcheck.com/america-first-action-superpac/,27,0
America Magazine,americamagazine.org,https://mediabiasfactcheck.com/america-magazine/,-6,2
America Rising PAC,americarisingpac.org,https://mediabiasfactcheck.com/america-rising-pac/,22,0
America Talks,americatalks.com,https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating/,33,-2
American Academy of Pediatrics,aap.org,https://mediabiasfactcheck.com/american-academy-of-pediatrics/,0,3
American Action Forum,americanactionforum.org,https://mediabiasfactcheck.com/american-action-forum/,14,1
American Affairs Journal,americanaffairsjournal.org,https://mediabiasfactcheck.com/american-affairs-journal/,10,2
American Bridge 21st Century,americanbridgepac.org,https://mediabiasfactcheck.com/american-bridge-21st-century/,-23,0
American Center for Law & Justice (ACLJ),aclj.org,https://mediabiasfactcheck.com/american-center-law-justice-aclj/,27,0
American College of Pediatricians,acpeds.org,https://mediabiasfactcheck.com/american-college-of-pediatricians/,27,-1
American Consequences,americanconsequences.com,https://mediabiasfactcheck.com/american-consequences/,22,0
American Council on Science and Health (ACSH),acsh.org,https://mediabiasfactcheck.com/american-council-on-science-and-health/,8,2
American Enterprise Institute,aei.org,https://mediabiasfactcheck.com/american-enterprise-institute/,21,0
American Family Association,afa.net,https://mediabiasfactcheck.com/american-family-association/,29,-1
American Fans,americafans.com,http://mediabiasfactcheck.com/american-fans/,31,-1
American Firearms Institute,americanfirearms.org,https://mediabiasfactcheck.com/american-firearms-institute/,12,2
American Flavor,americanflavor.news,https://mediabiasfactcheck.com/american-flavor/,32,-2
American for Prosperity,americansforprosperity.org,https://mediabiasfactcheck.com/americans-for-prosperity/,26,0
American Foreign Policy council,afpc.org,https://mediabiasfactcheck.com/american-foreign-policy-council/,18,1
Americas Freedom Fighters,americasfreedomfighters.com,https://mediabiasfactcheck.com/american-freedom-fighters/,32,-1
American Geophysical Union (AGU),sites.agu.org,https://mediabiasfactcheck.com/american-geophysical-union-agu/,0,3
American Greatness,amgreatness.com,https://mediabiasfactcheck.com/american-greatness/,26,0
American Heritage,americanheritage.com,https://mediabiasfactcheck.com/american-heritage/,1,2
American Immigration Council,americanimmigrationcouncil.org,https://mediabiasfactcheck.com/american-immigration-council/,-12,2
American Institute for Economic Research,aier.org,https://mediabiasfactcheck.com/american-institute-for-economic-research/,11,0
American Journal of Archaeology,ajaonline.org,https://mediabiasfactcheck.com/american-journal-of-archaeology/,0,3
American Journal of Public Health (AJPH),ajph.aphapublications.org,https://mediabiasfactcheck.com/american-journal-of-public-health-ajph/,0,3
American Journal Review,americanjournalreview.com,https://mediabiasfactcheck.com/american-journal-review/,32,-1
American Legislative Exchange Council (ALEC),alec.org,https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/,22,0
American Liberty Report,americanlibertyreport.com,https://mediabiasfactcheck.com/american-liberty-report/,23,0
American Lookout,americanlookout.com,https://mediabiasfactcheck.com/american-lookout/,31,-1
American Military News,americanmilitarynews.com,https://mediabiasfactcheck.com/american-military-news/,2,1
American News,americandailynews.org,https://mediabiasfactcheck.com/american-news/,30,-1
American News 24/7,americanewscentral.com,https://mediabiasfactcheck.com/american-news-24-7/,27,0
American News Hub,americanewshub.com,https://mediabiasfactcheck.com/american-news-hub/,25,0
American News X,anx.media,https://mediabiasfactcheck.com/american-news-x/,-25,0
American Oversight,americanoversight.org,https://mediabiasfactcheck.com/american-oversight/,-21,0
American Patriot Daily,americanpatriotdaily.com,https://mediabiasfactcheck.com/american-patriot-daily/,31,-1
American People Network,americanpeoplenetwork.com,https://mediabiasfactcheck.com/american-people-network/,31,-2
American Physical Society (APS),aps.org,https://mediabiasfactcheck.com/american-physical-society-aps/,0,3
American Press Institute (API),americanpressinstitute.org,https://mediabiasfactcheck.com/american-press-institute-api/,-1,3
American Prides,americanprides.org,https://mediabiasfactcheck.com/american-prides/,32,-1
American Principles Project,americanprinciplesproject.org,https://mediabiasfactcheck.com/american-principles-project/,31,-1
American Psychoanalytic Association,apsa.org,https://mediabiasfactcheck.com/american-psychoanalytic-association/,0,2
American Psychological Association (APA),apa.org,https://mediabiasfactcheck.com/american-psychological-association-apa/,0,3
American Public Media,americanpublicmedia.org,https://mediabiasfactcheck.com/american-public-media/,-6,2
American Renaissance Magazine,amren.com,https://mediabiasfactcheck.com/american-renaissance-magazine/,28,-1
American Scientist,americanscientist.org,https://mediabiasfactcheck.com/american-scientist/,0,3
"American Society for the Defense of Tradition, Family, and Property",tfp.org,https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,31,-1
American Spectator,spectator.org,https://mediabiasfactcheck.com/american-spectator/,23,0
American Thinker,americanthinker.com,https://mediabiasfactcheck.com/american-thinker/,29,-1
American Today,americantoday.news,https://mediabiasfactcheck.com/american-today/,32,-1
American Truth Seekers,americantruthseekers.com,https://mediabiasfactcheck.com/american-truth-seekers/,32,-1
American Updater,americanupdater.com,https://mediabiasfactcheck.com/american-updater/,33,-1
American Web Media (AWM),awm.com,https://mediabiasfactcheck.com/american-web-media-awm/,24,0
Americans Against the Tea Party (AATTP),aattp.org,https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,-32,-1
Americans for Truth (AFTAH),americansfortruth.com,https://mediabiasfactcheck.com/americans-for-truth-aftah/,32,-2
Americans United for Separation of Church and State,au.org,https://mediabiasfactcheck.com/american-united-separation-church-state/,-16,2
Americas Quarterly,americasquarterly.org,https://mediabiasfactcheck.com/americas-quarterly/,9,2
Amity Underground,amityunderground.com,https://mediabiasfactcheck.com/amity-underground/,-25,0
Ammoland,ammoland.com,https://mediabiasfactcheck.com/ammoland/,22,1
Amnesty International,amnesty.org,https://mediabiasfactcheck.com/amnesty-international/,-11,2
Anadolu Agency,aa.com.tr,https://mediabiasfactcheck.com/anadolu-agency/,22,0
Ancient Origins,ancient-origins.net,https://mediabiasfactcheck.com/ancient-origins/,2.6,0
anews-24 (American News),anews-24.com,https://mediabiasfactcheck.com/anews-24-com-american-news/,33,-2
Angry White Men,angrywhitemen.org,https://mediabiasfactcheck.com/angry-white-men/,-19,0
Angus Reid Institute,angusreid.org,https://mediabiasfactcheck.com/angus-reid-institute/,12,2
Anniston Star,annistonstar.com,https://mediabiasfactcheck.com/anniston-star/,-14,2
Anonymous News,anonews.co,https://mediabiasfactcheck.com/anonymous/,-11,0
Answers in Genesis,answersingenesis.org,https://mediabiasfactcheck.com/answers-in-genesis/,28.1,-1
Anthropocene Magazine,anthropocenemagazine.org,https://mediabiasfactcheck.com/conservation-magazine/,-7,2
Anti Defamation League,adl.org,https://mediabiasfactcheck.com/anti-defamation-league/,-14,2
Anti-Fascist News,antifascistnews.net,https://mediabiasfactcheck.com/anti-fascist-news/,-16,0
Anti-War,antiwar.com,https://mediabiasfactcheck.com/anti-war/,15,1
AOL,aol.com,https://mediabiasfactcheck.com/aol/,-12,2
APM Reports,apmreports.org,https://mediabiasfactcheck.com/apm-reports/,-8,2
APTN National News,aptn.ca,https://mediabiasfactcheck.com/aptn-news/,-3,2
Ara News,aranews.net,https://mediabiasfactcheck.com/ara-news/,-9,2
Arab News,arabnews.com,https://mediabiasfactcheck.com/arab-news/,10,0
Archaelogy Magazine,archaeology.org,https://mediabiasfactcheck.com/archaeology-magazine/,0,2
Areo Magazine,areomagazine.com,https://mediabiasfactcheck.com/areo-magazine/,-7,2
Argus Leader,argusleader.com,https://mediabiasfactcheck.com/argus-leader/,10,2
Arizona Capitol Times,azcapitoltimes.com,https://mediabiasfactcheck.com/arizona-capitol-times/,0,2
Arizona Daily Independent,arizonadailyindependent.com,https://mediabiasfactcheck.com/arizona-daily-independent/,22,0
Arizona Daily Star,tucson.com,https://mediabiasfactcheck.com/arizona-daily-star/,-10,2
Arizona Daily Sun,azdailysun.com,https://mediabiasfactcheck.com/arizona-daily-sun/,-5,2
Arizona Republic,azcentral.com,https://mediabiasfactcheck.com/arizona-republic/,-7,2
Arkansas Democrat-Gazette,arkansasonline.com,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,11,2
Arkansas Times,arktimes.com,https://mediabiasfactcheck.com/arkansas-times/,-15,2
Arms Control Association,armscontrol.org,https://mediabiasfactcheck.com/arms-control-association/,-7,2
Armstrong Economics,armstrongeconomics.com,https://mediabiasfactcheck.com/armstrong-economics/,21,0
Army Times,armytimes.com,https://mediabiasfactcheck.com/army-times/,-3,2
Ars Technica,arstechnica.com,https://mediabiasfactcheck.com/ars-technica/,-2,2
Arutz Sheva (Israel National News),israelnationalnews.com,https://mediabiasfactcheck.com/arutz-sheva-israel-national-news/,14,0
Asharq Al-Awsat,aawsat.com,https://mediabiasfactcheck.com/asharq-al-awsat-2/,15,0
Asheville Citizen-Times,citizen-times.com,https://mediabiasfactcheck.com/asheville-citizen-times/,-5,2
Asia Sentinel,asiasentinel.com,https://mediabiasfactcheck.com/asia-sentinel/,-14,0
Asia Times,asiatimes.com,https://mediabiasfactcheck.com/asia-times/,-3,2
Asian Correspondent,asiancorrespondent.com,https://mediabiasfactcheck.com/asian-correspondent/,-7,2
Asian News International,aninews.in,https://mediabiasfactcheck.com/asian-news-international-ani/,10,0
AP,apnews.com,https://mediabiasfactcheck.com/associated-press/,-4,3
Assyrian International News Agency,aina.org,https://mediabiasfactcheck.com/assyrian-international-news-agency/,20,0
Astronomy Magazine,astronomy.com,https://mediabiasfactcheck.com/astronomy-magazine/,0,3
Atavist Magazine,magazine.atavist.com,https://mediabiasfactcheck.com/atavist-magazine/,-6,3
Atlanta Black Star,atlantablackstar.com,https://mediabiasfactcheck.com/atlanta-black-star/,-13,2
Atlanta Journal-Constitution,ajc.com,https://mediabiasfactcheck.com/atlanta-journal-constitution/,-5,2
Atlantic Council,atlanticcouncil.org,https://mediabiasfactcheck.com/atlantic-council/,10,2
Atlantic Media,atlanticmedia.com,https://mediabiasfactcheck.com/atlantic-media/,-5,2
ATTN:,attn.com,https://mediabiasfactcheck.com/attn/,-9,2
Aurora-News,aurora-news.us,https://mediabiasfactcheck.com/aurora-news/,29,0
Austin American-Statesman,statesman.com,https://mediabiasfactcheck.com/austin-american-statesman/,-6,2
Australian Financial Review,afr.com,https://mediabiasfactcheck.com/the-australian-financial-review/,2,2
Australian Skeptics Inc.,skeptics.com.au,https://mediabiasfactcheck.com/australian-skeptics-inc/,0,2
Autism Speaks,autismspeaks.org,https://mediabiasfactcheck.com/autism-speaks/,3.4,1
Autistic Self Advocacy Network (ASAN),autisticadvocacy.org,https://mediabiasfactcheck.com/autistic-self-advocacy-network/,0,3
AutoStraddle,autostraddle.com,https://mediabiasfactcheck.com/autostraddle/,-21,2
Awareness Act,awarenessact.com,https://mediabiasfactcheck.com/awareness-act/,4.1,-1
Axiom News Network,axiomnewsnetwork.com,https://mediabiasfactcheck.com/axiom-news-network/,26,0
Axios,axios.com,https://mediabiasfactcheck.com/axios/,-7,2
BackChannel,backchannel.com,https://mediabiasfactcheck.com/backchannel/,-6,3
Backed By Fact,backedbyfact.com,https://mediabiasfactcheck.com/backed-by-fact/,-16,2
Badger Institute,badgerinstitute.org,https://mediabiasfactcheck.com/the-badger-institute/,21,0
Balkan Insight,balkaninsight.com,https://mediabiasfactcheck.com/balkan-insight/,-12,2
Ballotpedia,ballotpedia.org,https://mediabiasfactcheck.com/ballotpedia/,0,3
Baltimore Sun,baltimoresun.com,https://mediabiasfactcheck.com/baltimore-sun/,-10,2
Bangkok Post,bangkokpost.com,https://mediabiasfactcheck.com/the-bangkok-post/,-4,2
Bangor Daily News,bangordailynews.com,https://mediabiasfactcheck.com/bangor-daily-news/,-7,2
Banned Information,bannedinformation.com,https://mediabiasfactcheck.com/banned-information/,28,0
Baptist News Global,baptistnews.com,https://mediabiasfactcheck.com/baptist-news-global/,-6,2
Bare Naked Islam,barenakedislam.com,https://mediabiasfactcheck.com/bare-naked-islam/,30,-1
Barron's,barrons.com,https://mediabiasfactcheck.com/barrons/,8,2
Battle Creek Enquirer,battlecreekenquirer.com,https://mediabiasfactcheck.com/battle-creek-enquirer/,-6,2
Baxter Bulletin,baxterbulletin.com,https://mediabiasfactcheck.com/the-baxter-bulletin/,-1,2
Bay Area Reporter,ebar.com,https://mediabiasfactcheck.com/bay-area-reporter/,-16,2
BB4SP,bb4sp.com,https://mediabiasfactcheck.com/bb4sp/,29,-1
Bbarta24,en.bbarta24.net,https://mediabiasfactcheck.com/bbarta24/,-8,0
BBC,bbc.com,https://mediabiasfactcheck.com/bbc/,-5,2
BDNews24,bdnews24.com,https://mediabiasfactcheck.com/bdnews24/,-11,0
Bearing Arms,bearingarms.com,https://mediabiasfactcheck.com/bearing-arms/,24,0
BeAware,beaware.one,https://mediabiasfactcheck.com/beaware/,32,-1
Before It's News,beforeitsnews.com,https://mediabiasfactcheck.com/before-its-news/,31,-1
Beijing Review,bjreview.com,https://mediabiasfactcheck.com/beijing-review/,-8,0
Being Libertarian,beinglibertarian.com,https://mediabiasfactcheck.com/being-libertarian/,16,1
Belfer Center for Science and International Affairs,belfercenter.org,https://mediabiasfactcheck.com/the-belfer-center-for-science-and-international-affairs/,-15,2
Beliefnet,beliefnet.com,https://mediabiasfactcheck.com/beliefnet/,21,0
Belleville News-Democrat,bnd.com,https://mediabiasfactcheck.com/belleville-news-democrat/,-3,2
Bellingcat,bellingcat.com,https://mediabiasfactcheck.com/bellingcat/,-10,1
Berkeleyside,berkeleyside.com,https://mediabiasfactcheck.com/berkeleyside/,-11,2
Berkshire Eagle,berkshireeagle.com,https://mediabiasfactcheck.com/berkshire-eagle/,-9,2
Better Government Association,bettergov.org,https://mediabiasfactcheck.com/better-government-association/,-4,2
Big Blue Vision,bigbluevision.org,https://mediabiasfactcheck.com/big-blue-vision/,31,-1
Big League Politics,bigleaguepolitics.com,https://mediabiasfactcheck.com/big-league-politics/,29,-1
Big News Network,bignewsnetwork.com,https://mediabiasfactcheck.com/big-news-network/,-2,1
Big Think,bigthink.com,https://mediabiasfactcheck.com/big-think/,-1,2
Billings Gazette,billingsgazette.com,https://mediabiasfactcheck.com/billings-gazette/,5,2
BillionBibles.org,billionbibles.org,https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/,27,-2
BillMoyers.com,billmoyers.com,https://mediabiasfactcheck.com/billmoyers-com/,-20,1
Biloxi Sun Herald,sunherald.com,https://mediabiasfactcheck.com/biloxi-sun-herald/,-2,2
Bing News,bing.com,https://mediabiasfactcheck.com/bing-news/,-12,2
BioMedical Central (BMC),biomedcentral.com,https://mediabiasfactcheck.com/biomed-central-bmc/,0,3
Biotechnology Innovation Organization (BIO),bio.org,https://mediabiasfactcheck.com/biotechnology-innovation-organization-bio/,0,3
Bipartisan Policy Center,bipartisanpolicy.org,https://mediabiasfactcheck.com/bipartisan-policy-center/,5,1
Bipartisan Report,bipartisanreport.com,https://mediabiasfactcheck.com/bipartisan-report/,-30,0
Birmingham Mail,birminghammail.co.uk,https://mediabiasfactcheck.com/birmingham-mail/,-15,1
Bismarck Tribune,bismarcktribune.com,https://mediabiasfactcheck.com/bismarck-tribune/,1,2
Bitch Media,bitchmedia.org,https://mediabiasfactcheck.com/bitch-media/,-20,2
BizPac Review,bizpacreview.com,https://mediabiasfactcheck.com/bizpac-review/,26,0
Black Agenda Report,blackagendareport.com,https://mediabiasfactcheck.com/black-agenda-report/,-27,1
Black Eye Politics,blackeyepolitics.com,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/,32,-1
Black Genocide,blackgenocide.org,https://mediabiasfactcheck.com/black-genocide/,32,-1
Black Lives Matter,blacklivesmatter.com,https://mediabiasfactcheck.com/black-lives-matter/,-19,0
Black Pigeon Speaks,blackpigeonspeaks.com,https://mediabiasfactcheck.com/black-pigeon-speaks/,32,-1
Blacklisted News,blacklistednews.com,https://mediabiasfactcheck.com/blacklisted-news/,22.2,0
Blasting News,us.blastingnews.com,https://mediabiasfactcheck.com/blastingnews/,-2,2
Bleeping Computer,bleepingcomputer.com,https://mediabiasfactcheck.com/bleeping-computer-bias-rating/,0,2
Blingnews.com,blingnews.com,https://mediabiasfactcheck.com/blingnews-com/,32,-1
Bloomberg,bloomberg.com,https://mediabiasfactcheck.com/bloomberg/,-6,1
Blue Dot Daily,bluedotdaily.com,https://mediabiasfactcheck.com/blue-dot-daily/,-28,0
Blue Informer,blueinformer.com,https://mediabiasfactcheck.com/blue-informer/,32,-1
Blue Lives Matter/Police Tribune,policetribune.com,https://mediabiasfactcheck.com/blue-lives-matter/,24,0
Blue Nation Review,bluenationreview.com,https://mediabiasfactcheck.com/blue-nation-review/,-27,0
Blue State Daily,bluestatedaily.com,https://mediabiasfactcheck.com/blue-state-daily/,-26,0
Blue Tribune,bluetribune.com,https://mediabiasfactcheck.com/blue-tribune/,-31,-1
Blue Vision Post,bluevisionpost.com,https://mediabiasfactcheck.com/blue-vision-post/,32,-1
Bluestem Prairie,bluestemprairie.com,https://mediabiasfactcheck.com/bluestem-prairie/,-11,2
BlueVision.News,bluevision.news,https://mediabiasfactcheck.com/bluevision-news/,32,-1
Blunt Force Truth,bluntforcetruth.com,https://mediabiasfactcheck.com/blunt-force-truth/,30,-1
BNO News,bnonews.com,https://mediabiasfactcheck.com/bno-news/,-2,2
BoingBoing,boingboing.net,https://mediabiasfactcheck.com/boing-boing/,-21,0
Bongino.com,bongino.com,https://mediabiasfactcheck.com/bongino-com/,27,0
Borderland Alternative Media (BAM),borderlandalternativemedia.com,https://mediabiasfactcheck.com/borderland-alternative-media-bam/,29,-1
Boston Globe,bostonglobe.com,https://mediabiasfactcheck.com/boston-globe/,-9,2
Boston Herald,bostonherald.com,https://mediabiasfactcheck.com/boston-herald/,13,2
Boston Review,bostonreview.net,https://mediabiasfactcheck.com/boston-review/,-17,2
Boy Genius Report,bgr.com,https://mediabiasfactcheck.com/boy-genius-report-bgr/,-8,2
Bozeman Daily Chronicle,bozemandailychronicle.com,https://mediabiasfactcheck.com/bozeman-daily-chronicle/,-1,2
Brampton Guardian,bramptonguardian.com,https://mediabiasfactcheck.com/brampton-guardian/,-7,2
Breaking Defense,breakingdefense.com,https://mediabiasfactcheck.com/breaking-defense/,12,2
Breaking911,breaking911.com,https://mediabiasfactcheck.com/breaking911/,16.3,-2
Breakingtop.world,breakingtop.world,https://mediabiasfactcheck.com/breakingtop-world/,33,-2
Breakthrough Institute,thebreakthrough.org,https://mediabiasfactcheck.com/breakthrough-institute/,7,2
Breitbart,breitbart.com,https://mediabiasfactcheck.com/breitbart/,28,0
Breitbart Unmasked,breitbartunmasked.com,https://mediabiasfactcheck.com/breitbart-unmasked/,-26,0
Brennan Center for Justice,brennancenter.org,https://mediabiasfactcheck.com/brennan-center-for-justice/,-13,2
BrexitCentral,brexitcentral.com,https://mediabiasfactcheck.com/brexitcentral/,23,0
Bridge Michigan,bridgemi.com,https://mediabiasfactcheck.com/bridge-magazine/,-10,2
Brief.News,brief.news,https://mediabiasfactcheck.com/brief-news/,0,2
Britain First,britainfirst.org,https://mediabiasfactcheck.com/britain-first/,30,-1
Brookings Institute,brookings.edu,https://mediabiasfactcheck.com/brookings-institute/,-7,3
Buenos Aires Times,batimes.com.ar,https://mediabiasfactcheck.com/buenos-aires-times/,7,2
Buffalo News,buffalonews.com,https://mediabiasfactcheck.com/buffalo-news/,-10,2
